Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
Guns N' Roses (JJP);Standard: Den Ball durch die blinkende Top-Lane (obere Einlaufbahn) spielen. Super Skillshot: Linken Flipper gedrückt halten und direkt den blinkenden Song-/Stage-Shot (Rampe, Orbit oder Scoop) treffen.;1. Sofort einen Song starten. 2. Während des Songs die leuchtenden Stage-Shots treffen und Notes sammeln. 3. Die virtuellen Locks für den ersten Song-Multiball aufbauen. 4. Song und Multiball möglichst gleichzeitig laufen lassen (Stacking). 5. Danach auf Encore Multiball hinarbeiten.;Einen Song wählen, dessen Schüsse du sicher triffst (z. B. Welcome to the Jungle oder Sweet Child O' Mine).;Stage-/Center-Scoop (Loch in der Spielfeldmitte direkt vor der Bühne).;Mehrere blinkende Stage-Shots (Rampen, Orbits oder Scoop) treffen. Es gibt keine echten Ball-Locks, sondern virtuelle Locks.;Über die jeweils blinkenden Stage-Shots.;Sobald alle virtuellen Locks gesammelt wurden, den blinkenden Stage-/Center-Scoop treffen.;🔘 Action-Button: Den Band-Weapon-Button möglichst für schwierige Jackpot-Schüsse oder kritische Song-Ziele aufheben. Nicht direkt nach dem Aufladen verwenden, sondern dann, wenn ein schwieriger Schuss sicher getroffen werden muss oder im Multiball ein wichtiger Jackpot ansteht.;Ist der Multiball noch weit entfernt, den Song weiterspielen und möglichst viele Notes sammeln.;Center Scoop und Stage-Shots – Fehlschüsse kommen häufig schnell Richtung Mitte oder auf den rechten Flipper zurück.;Songs liefern den Großteil der Punkte. Möglichst früh einen Song starten und ihn mit dem ersten Multiball kombinieren.
Guns N' Roses (Data East);Beim Ballstart als Kickback-Award möglichst „Add Band Member“ auswählen. Dadurch wird sofort ein Bandmitglied gutgeschrieben.;1. Alle 6 Bandmitglieder sammeln (Axl, Slash, Duff, Izzy, Matt und Dizzy). 2. Sobald alle komplett sind, den GNR Multiball starten. 3. Während des Multiballs die linke und rechte Rampe für Jackpots spielen.;Keine Moduswahl vorhanden.;–;Alle 6 Bandmitglieder einsammeln. Dies geschieht über die verschiedenen Feature-Schüsse auf dem Spielfeld.;Kein klassischer Ball-Lock vorhanden. Der Multiball wird direkt über den Spielablauf freigeschaltet.;Backstage Pass / Up-Kicker (oben in der Spielfeldmitte), sobald alle Bandmitglieder gesammelt wurden.;–;Fehlen noch Bandmitglieder, diese immer priorisieren und Bonusfeatures ignorieren.;Linke GNR-Rampe – Fehlschüsse laufen oft hart zur rechten Flipperseite zurück.;Wenn möglich immer „Add Band Member“ wählen. Ein früher Multiball ist meist der schnellste Weg zu vielen Punkten.
Star Wars (Data East);Nach dem Abschuss den FIRE-Knopf am Schalthebel drücken, sobald der TIE Fighter genau im Fadenkreuz erscheint.;1. Das Death-Star-Target (gelbes Target direkt unter der drehenden silbernen Todesstern-Kugel oben rechts) treffen, bis LOCK leuchtet. 2. Den Ball in den Death Star schießen und locken. 3. Insgesamt 3 Locks sammeln. 4. Danach startet automatisch der Tri-Ball.;Keine Moduswahl vorhanden.;–;Das Death-Star-Target mehrfach treffen, bis LOCK leuchtet. Nach jedem Lock erneut wiederholen.;Death Star (unter der drehenden silbernen Kugel oben rechts).;Startet automatisch nach dem 3. Lock.;"Den FIRE-Knopf am Schalthebel für den Skillshot direkt nach dem Abschuss verwenden.
Die Darth-Vader-Armee abschießen.
Speeder-Rennen fahren.";Sind die Locks noch weit entfernt, lieber weiter sichere Rampen und den Death Star spielen.;Death-Star-Target – harte Rückpraller können direkt Richtung rechter Flipper oder SDTM laufen.;Der FIRE-Button-Skillshot ist einfach und praktisch risikolos – fast immer mitnehmen.
Whirlwind;Direkt nach dem Abschuss die blinkenden „FEEL THE POWER“-Drop-Targets links oben treffen.;1. Die leuchtenden Richtungs-Targets (Kompass in der Spielfeldmitte: N, E, S, W) treffen. 2. Sobald LOCK leuchtet, den Ball über die Skyway-Rampe rechts locken. 3. Danach erneut die Richtungs-Targets vervollständigen. 4. Insgesamt 3 Locks sammeln. 5. Anschließend die 3-Toll-Rampe (linke Rampe vom oberen Flipper) für den Multiball spielen.;Keine Moduswahl vorhanden.;–;Alle aktuell blinkenden Richtungs-Targets treffen. Nach jedem Lock werden neue Richtungen aktiviert.;Skyway-Rampe (rechte Rampe, Ball wird oben rechts gespeichert).;Über die 3-Toll-Rampe (linke Rampe des oberen Flippers), nachdem alle Locks gesammelt wurden.;–;Ist Quick Multiball ohne Umweg erreichbar, diesen mitnehmen.;3-Toll-Rampe – Fehlschüsse vom oberen Flipper kommen oft sehr schnell zurück.;Die 3-Toll-Rampe ist im Multiball der wertvollste Schuss.
Diner;Den Ball so abschießen, dass er die Jukebox oben rechts trifft.;1. Die rechte Cup-Rampe treffen – dadurch wird der Lock geöffnet. 2. Über die linke Cash-Register-Rampe den Ball locken. 3. Spinner im linken Orbit drehen. 4. Anschließend den oberen linken Saucer treffen. 5. Der Multiball startet.;Keine Moduswahl vorhanden.;–;Die rechte Cup-Rampe einmal treffen. Dadurch öffnet sich der Lock unter der linken Rampe.;Linke Cash-Register-Rampe (unter der geöffneten Rampe auf der linken Spielfeldseite).;Spinner im linken Orbit, danach den oberen linken Saucer treffen.;–;Ist der Multiball noch weit entfernt, lieber Spinner und Rampen spielen.;Today's Special (Loch rechts unten) – Fehlschüsse laufen häufig Richtung rechte Outlane.;Während des Multiballs zuerst die Kunden über die Drop-Targets einsammeln.
Jack*Bot;Den Ball nach dem Abschuss durch die blinkende Skillshot-Lane (obere Einlaufbahn) spielen.;1. Über die linke Rampe den Cashpot einsammeln. 2. Anschließend den Casino-Scoop treffen und einen Casino-Modus starten. 3. Die 5 Visor-Klappziele komplett abschießen. 4. Dadurch öffnet sich das Eye-Eject hinter den Targets und der erste Lock leuchtet. 5. Insgesamt 2 Bälle locken – danach startet der Multiball automatisch.;Casino-Modus möglichst früh starten, nachdem der Cashpot eingesammelt wurde.;Casino-Scoop (Loch oben in der Spielfeldmitte).;Die 5 Visor-Klappziele vollständig treffen. Dadurch öffnet sich das Eye-Eject und aktiviert den Lock.;Eye-Eject (Loch hinter den geöffneten Visor-Zielen in der Spielfeldmitte).;Startet automatisch nach dem 2. Lock.;–;Ist der Lock noch weit entfernt, lieber Cashpot sammeln und Casino-Modi weiterspielen.;Visor-Ziele – Fehlschüsse prallen häufig direkt zwischen die Flipper (SDTM) zurück.;Cashpot und ein schneller Quick Multiball sind meist der einfachste Weg zu vielen Punkten.
Road Show;Den Ball nach dem Abschuss durch die blinkende Skillshot-Lane (obere Einlaufbahn) spielen.;1. Linke Work-Site-Rampe treffen. 2. Rechte Work-Site-Rampe treffen, um die aktuelle Baustelle abzuschließen. 3. Neue Stadt auswählen und weiter über die Rampen arbeiten. 4. Den Bulldozer (große gelbe Abrissbirne in der Spielfeldmitte) 3-mal treffen. 5. Ball in den Mund von Red (rechter Kopf) oder Ted (linker Kopf) schießen. Nach 2 Locks startet der Multiball automatisch.;Keine Moduswahl vorhanden.;–;Bulldozer in der Spielfeldmitte 3-mal treffen. Danach leuchtet der Lock.;Reds Mund (rechter Kopf) oder Teds Mund (linker Kopf).;Startet automatisch nach dem 2. Lock.;–;Sind die Locks noch weit entfernt, lieber Work Sites, Städte und Souvenirs weiterspielen.;Bulldozer – Fehlschüsse kommen häufig direkt zwischen die Flipper zurück (SDTM). Auch Schüsse auf die Köpfe können hart abprallen.;Work Sites und Städte bringen oft konstant Punkte. Auf Ted oder Red nur aus kontrollierter Balllage schießen.
FunHouse;Den Ball so abschießen, dass er oben im Loop langsamer wird und rückwärts in Rudy's Hideout (versteckter Kicker hinter Rudys Kopf) rollt.;1. Uhr von 8:00 auf 11:30 bringen – über Center Ramp, Trap Door, Hidden Hallway, Jets usw. 2. Ab 11:30 den Hidden Hallway (links oben) zweimal treffen. 3. Rudy öffnet den Mund. 4. Ball in Rudys Mund schießen – der Midnight Multiball startet.;Keine Moduswahl vorhanden.;–;Ab 11:30 den Hidden Hallway zweimal treffen.;Hidden Hallway (links oben).;Rudys geöffneter Mund (Mitte rechts).;–;Ist Mitternacht noch weit entfernt, lieber Center Ramp, Gangway und Trap Door spielen.;Rudys Mund – Fehlschüsse laufen oft Richtung rechte Outlane oder SDTM.;Den Mouth-Shot nur aus sicherer Ballkontrolle spielen.
Jurassic Park Pro;Den Ball durch die blinkende Inlane oder – wenn aktiviert – direkt den Tower (oben Mitte) spielen.;1. Über die Control-Room-Rampe (links) einen Dinosaurier wählen. 2. Truck-Rampe (rechts). 3. Helipad (rechter Orbit). 4. Truck (LKW rechts der Mitte) treffen und den Dino fangen. 5. Nach dem ersten Dino leuchtet CHAOS Multiball. 6. Truck erneut treffen.;Keinen Modus wählen – möglichst den einfachsten Dinosaurier fangen.;Control Room über die linke Rampe.;Einen Dinosaurier komplett fangen (Control Room → Truck → Helipad → Capture Shot).;Kein klassischer Ball-Lock.;Truck (rechts der Spielfeldmitte).;🔘 Action Button: Den Capture Button drücken, sobald der Ball am Truck gefangen ist und der Fang bestätigt werden soll. Während des CHAOS-Multiballs kann der Button zusätzlich für den Raketenwerfer genutzt werden.;Ist der Truck zu riskant, lieber sichere Rampen spielen und den Dino-Aufbau fortsetzen.;Truck/Capture Shot – harte Rückpraller Richtung rechter Flipper oder SDTM.;Den ersten Dinosaurier möglichst schnell abschließen und sofort den CHAOS Multiball starten.
24;Den Ball durch die blinkende obere Skillshot-Lane spielen.;1. Linke Rampe treffen → Suitcase Lock aktiviert. 2. Rechte Rampe → Ball in den geöffneten Suitcase locken. 3. Erneut linke Rampe. 4. Insgesamt 3 Locks sammeln.;Keine Moduswahl vorhanden.;–;Vor jedem Lock zuerst die linke Rampe treffen.;Suitcase (oben rechts).;Startet automatisch nach dem 3. Lock.;–;Sind die Locks noch weit entfernt, lieber beide Rampen weiterspielen.;Safe House und Sniper House – Rückpraller kommen oft unkontrolliert zurück.;Rampen sind der sicherste Weg zum Multiball.
Black Rose;Den Ball durch die blinkende Skillshot-Lane spielen.;1. Rampen und Orbits spielen, um die Kanone aufzuladen. 2. Broadside starten. 3. Drei Broadside-Treffer erzielen. 4. Lock leuchtet. 5. Ball in den Captain's Chair (links oben) locken. 6. Nach 2 Locks startet der Multiball.;Keine Moduswahl vorhanden.;–;3 Broadside-Treffer schalten den Lock frei.;Captain's Chair (links oben hinter der Rampe).;Startet automatisch nach dem 2. Lock.;🔘 Action Button (Fire): Sobald die Kanone geladen ist und der Ball darin liegt, den Fire-Button drücken, um den Kanonenschuss auf das gegnerische Schiff oder andere Ziele abzugeben.;Wenn Broadside schwierig ist, lieber Rampen und Orbits spielen und die Kanone weiter aufladen.;Broadside – Fehlschüsse kommen oft direkt mittig zurück.;Die Kanone möglichst gezielt einsetzen – Broadside und Multiball profitieren stark davon.
Party Zone;Den Ball nach dem Abschuss durch den blinkenden Door Prize-Rollover (oben rechts neben den B-O-P-Lanes) spielen.;1. Comic Saucer (Loch oben rechts) treffen. 2. Cosmic Cottage (rechte obere Lane) spielen und Party Pässe sammeln. 3. Party Dudes vervollständigen. 4. Happy Hour Multiball startet automatisch. 5. Während des Multiballs die linke Rampe für Jackpots spielen.;Keine Moduswahl vorhanden.;–;Party Pässe sammeln, bis Party Dudes vollständig erreicht sind.;Kein klassischer Lock – Ball wird in der Cosmic Cottage gehalten.;Happy Hour startet automatisch nach dem letzten Party Pass.;–;Solange Party Dudes fehlen, Comic Saucer und Cosmic Cottage weiterspielen.;Payoff-Lane rechts – Rückläufer aus den Bumpern laufen oft gefährlich zwischen die Flipper.;Happy Hour Multiball priorisieren und währenddessen fast ausschließlich die linke Rampe spielen.
Indiana Jones (Williams);Den Ball nach dem Abschuss durch die blinkende obere Skillshot-Lane spielen.;1. Über das Idol (goldener Kopf in der Spielfeldmitte) einen Modus starten. 2. Adventure Shots abschließen. 3. Modus erfolgreich beenden. 4. Drei Modi gewinnen. 5. Multiball leuchtet. 6. Idol erneut treffen.;Raiders, Well of Souls oder Path of Adventure.;Idol (goldener Kopf in der Spielfeldmitte).;Drei erfolgreich abgeschlossene Modi qualifizieren den Multiball.;Kein klassischer Ball-Lock.;Idol (Mitte vor dem Kopf).;–;Ist das Idol zu riskant, lieber Adventure Shots und einfache Modi weiterspielen.;Idol-Schuss – Fehlschüsse prallen häufig direkt zwischen die Flipper zurück (SDTM).;Einfache Modi zuerst spielen und den Multiball mitnehmen, wenn er sich ergibt.
Bram Stoker's Dracula;Den Ball nach dem Abschuss durch die blinkende obere Skillshot-Lane spielen.;1. Die drei Sarg-Drop-Targets links unten komplett treffen. 2. Castle Lock oben links öffnet sich. 3. Ball in den Castle Lock schießen. 4. Dreimal wiederholen. 5. Mist Multiball startet automatisch. 6. Linke Rampe für Jackpots spielen.;Keine Moduswahl vorhanden.;–;Drei Sarg-Drop-Targets komplett treffen. Danach leuchtet der Castle Lock.;Castle Lock (oben links hinter den Sarg-Targets).;Startet automatisch nach dem 3. Lock.;–;Sind die Locks noch weit entfernt, lieber sichere Rampen und Castle-Shots spielen.;Sarg-Targets – harte Abpraller laufen oft Richtung linke Outlane oder SDTM.;Den Castle Lock konsequent nutzen und die Sarg-Targets kontrolliert vom linken Flipper schießen.
Johnny Mnemonic;Den Ball nach dem Abschuss durch die blinkende obere Skillshot-Lane spielen.;1. Crazy Bob's Scoop (Loch links oben) treffen. 2. Ersten Cyberlock vorbereiten. 3. Start Mode oder erneut Crazy Bob's treffen. 4. Drei Cyberlocks sammeln. 5. Über einen leuchtenden Cyberlock in die Matrix locken. 6. Nach dem dritten Lock startet der Multiball.;Keine feste Moduswahl – Multiball priorisieren.;Start Mode (Mitte) oder Crazy Bob's Scoop (links oben).;Drei Cyberlocks qualifizieren.;Über den grün blinkenden Cyberlock (Center Lane, Spinner Lane oder rechter Loop).;Startet automatisch nach dem 3. Lock.;🔘 Action-Button (Dataglove): Drücken, wenn die Dataglove aktiv ist, um den Ball gezielt in der Matrix zu platzieren. Idealerweise drei Bälle in einer Reihe für höhere Jackpots.;Ist der nächste Lock noch weit entfernt, lieber Modi weiterspielen.;Center Lane unter der Hand – Fehlschüsse kommen oft direkt zwischen die Flipper zurück.;Drei Bälle möglichst in einer Reihe der Matrix platzieren – das erhöht die Multiball-Jackpots deutlich.
Demolition Man;Den Ball nach dem Abschuss durch die blinkende obere Skillshot-Lane spielen.;1. Die Cryo-Claw (bewegliche Magnet-Hand in der Spielfeldmitte) aktivieren. 2. Die Cryo-Claw fängt den Ball. 3. Ball ins Cryo Prison legen. 4. Insgesamt drei Bälle einsperren. 5. Multiball startet automatisch. 6. Linke und rechte Rampe für Jackpots spielen.;Keine Moduswahl vorhanden.;–;Kein separates Qualifizieren nötig. Die Cryo-Claw muss drei Bälle ins Cryo Prison legen.;Cryo Prison (oben Mitte).;Startet automatisch nach dem 3. Lock.;🔘 Action-Button (Fire): Sobald die Cryo-Claw den Ball aufgenommen hat, den Button drücken, um den Ball gezielt im gewünschten Cryo-Prison-Fach abzulegen.;Ist die Cryo-Claw schwierig, lieber Rampen weiterspielen und den Lock später mitnehmen.;Cryo-Claw – Fehlschüsse auf Magnet oder Scoop können unkontrolliert zwischen die Flipper zurückkommen.;Den Fire-Button bewusst einsetzen, um den Ball optimal zu platzieren und den Multiball schneller zu erreichen.
Foo Fighters Pro;Den Ball nach dem Abschuss durch die Rock-O-Meter-Lane (ganz rechts oben) oder auf die Drop-Targets links unten spielen – je nach leuchtendem Skillshot.;1. Den Overlord (großes Alien-Maul in der Spielfeldmitte) mehrfach treffen. 2. Sobald LOCK leuchtet, den Ball erneut in den Overlord schießen. 3. Danach den Captive Ball im Overlord 3-mal treffen. 4. Dadurch startet der erste Overlord Multiball.;Keine Moduswahl – Overlord zuerst priorisieren.;–;Den Overlord mehrfach treffen, bis LOCK leuchtet.;Overlord (großes Alien-Maul in der Spielfeldmitte).;Nach dem Lock den Captive Ball im Overlord 3-mal treffen.;🔘 Action-Button: Den Overdrive-Button einsetzen, wenn Overdrive bereit ist. Ideal bei schwierigen Schüssen auf den Overlord, Area 51 oder während des Multiballs für sichere Jackpot-Schüsse.;Ist der Overlord schwierig, lieber Area 51 über die rechte Rampe aufbauen oder Van Modes nebenbei spielen.;Overlord – Fehlschüsse kommen oft sehr schnell mittig auf beide Flipper zurück.;Der erste Overlord Multiball ist meist der schnellste Weg zu vielen Punkten. Overdrive für schwierige Schüsse oder im Multiball aufsparen.
